Parallel time taken: 0.004965 seconds
Neighbor 1: Point 87 (Distance: 17.525927)
Neighbor 2: Point 65 (Distance: 18.525791)
Neighbor 3: Point 83 (Distance: 19.081806)
Neighbor 4: Point 2 (Distance: 23.631687)
Neighbor 5: Point 88 (Distance: 25.522915)
Neighbor 1: Point 91 (Distance: 10.058314)
Neighbor 2: Point 4 (Distance: 11.604269)
Neighbor 3: Point 89 (Distance: 16.461691)
Neighbor 4: Point 30 (Distance: 21.506493)
Neighbor 5: Point 60 (Distance: 22.790304)
Neighbor 1: Point 87 (Distance: 14.357717)
Neighbor 2: Point 53 (Distance: 18.053253)
Neighbor 3: Point 23 (Distance: 21.228157)
Neighbor 4: Point 86 (Distance: 22.484207)
Neighbor 5: Point 83 (Distance: 22.500057)
Neighbor 1: Point 38 (Distance: 5.392782)
Neighbor 2: Point 70 (Distance: 14.079071)
Neighbor 3: Point 41 (Distance: 14.904999)
Neighbor 4: Point 23 (Distance: 16.106939)
Neighbor 5: Point 46 (Distance: 16.347202)
Neighbor 1: Point 91 (Distance: 11.118648)
Neighbor 2: Point 1 (Distance: 11.604269)
Neighbor 3: Point 30 (Distance: 22.524488)
Neighbor 4: Point 89 (Distance: 23.191378)
Neighbor 5: Point 39 (Distance: 23.807856)
Neighbor 1: Point 10 (Distance: 21.223558)
Neighbor 2: Point 28 (Distance: 23.590937)
Neighbor 3: Point 97 (Distance: 27.525753)
Neighbor 4: Point 84 (Distance: 35.541759)
Neighbor 5: Point 60 (Distance: 37.673046)
Neighbor 1: Point 57 (Distance: 9.061161)
Neighbor 2: Point 26 (Distance: 12.595681)
Neighbor 3: Point 16 (Distance: 23.603188)
Neighbor 4: Point 11 (Distance: 24.639071)
Neighbor 5: Point 18 (Distance: 25.999113)
Neighbor 1: Point 64 (Distance: 17.932930)
Neighbor 2: Point 56 (Distance: 19.193930)
Neighbor 3: Point 53 (Distance: 21.717030)
Neighbor 4: Point 25 (Distance: 21.914135)
Neighbor 5: Point 86 (Distance: 22.300777)
Neighbor 1: Point 71 (Distance: 12.834601)
Neighbor 2: Point 45 (Distance: 13.883636)
Neighbor 3: Point 12 (Distance: 14.178699)
Neighbor 4: Point 68 (Distance: 14.839122)
Neighbor 5: Point 47 (Distance: 16.434069)
Neighbor 1: Point 18 (Distance: 18.367273)
