Num of neighbors (K),Num processors,Num of points,Speed-Up,Efficency
5,2,1024,1.293103448275862,0.646551724137931
5,4,1024,2.6071842410196986,0.6517960602549246
5,8,1024,4.508340429795121,0.5635425537243901
5,16,1024,7.7200205867215645,0.4825012866700978
5,32,1024,9.730781706130392,0.30408692831657474
5,64,1024,6.5359477124183005,0.10212418300653595
5,2,2048,0.7067887055164859,0.35339435275824294
5,4,2048,1.21979111077228,0.30494777769307
5,8,2048,2.3071377072819037,0.28839221341023796
5,16,2048,4.140893915474003,0.2588058697171252
5,32,2048,6.773346880027093,0.21166709000084666
5,64,2048,4.559703619264748,0.07124536905101168
5,2,4096,1.0872662995220972,0.5436331497610486
5,4,4096,1.757441165662795,0.43936029141569877
5,8,4096,2.5025404577374,0.312817557217175
5,16,4096,4.720827432299043,0.29505171451869017
5,32,4096,8.294791876131109,0.25921224612909716
5,64,4096,7.77000777000777,0.12140637140637141
5,2,8192,1.278506627644282,0.639253313822141
5,4,8192,2.4288205483676415,0.6072051370919104
5,8,8192,3.9244275774082316,0.49055344717602894
5,16,8192,5.073643845403982,0.3171027403377489
5,32,8192,9.126301865252032,0.285196933289126
5,64,8192,12.176157533028396,0.1902524614535687
5,2,16384,1.3225993088799415,0.6612996544399707
5,4,16384,2.7462580947757327,0.6865645236939332
5,8,16384,5.223068552774755,0.6528835690968444
5,16,16384,8.114299172994883,0.5071436983121802
5,32,16384,10.511593756428262,0.3284873048883832
5,64,16384,19.191960940406087,0.2998743896938451
5,2,32768,1.3670268136762243,0.6835134068381121
5,4,32768,2.9396643313519317,0.7349160828379829
5,8,32768,5.314189137212263,0.6642736421515328
5,16,32768,9.01050769741971,0.5631567310887319
5,32,32768,15.199185433308434,0.4749745447908886
5,64,32768,22.935055802830362,0.3583602469192244
5,2,65536,1.3285411031692709,0.6642705515846354
5,4,65536,2.9736409458446587,0.7434102364611647
5,8,65536,5.561875658559913,0.6952344573199891
5,16,65536,9.461045571014406,0.5913153481884004
5,32,65536,18.069616223250048,0.564675506976564
5,64,65536,26.807237328078788,0.41886308325123106
10,2,1024,1.0433784594517046,0.5216892297258523
10,4,1024,2.0317976329557577,0.5079494082389394
10,8,1024,3.3276486003078074,0.4159560750384759
10,16,1024,5.177658403986797,0.3236036502491748
10,32,1024,7.547169811320755,0.2358490566037736
10,64,1024,3.9922151803982233,0.06237836219372224
10,2,2048,0.6594949820190634,0.3297474910095317
10,4,2048,1.1956338265908963,0.2989084566477241
