Numero di processori (P),Numero di punti (N),Numero di vicini (K),Iterazioni,Tempo di esecuzione(s)
2,1024,5,1,0.069600
2,1024,10,1,0.076674
2,1024,15,1,0.081869
2,1024,20,1,0.090841
2,2048,5,1,0.226376
2,2048,10,1,0.257773
2,2048,15,1,0.272152
2,2048,20,1,0.278102
2,4096,5,1,0.607027
2,4096,10,1,0.714159
2,4096,15,1,0.740664
2,4096,20,1,0.645772
2,8192,5,1,2.088374
2,8192,10,1,2.123357
2,8192,15,1,2.237202
2,8192,20,1,2.296370
2,16384,5,1,8.075008
2,16384,10,1,8.090866
2,16384,15,1,8.138244
2,16384,20,1,8.313709
2,32768,5,1,30.826023
2,32768,10,1,30.907622
2,32768,15,1,31.936200
2,32768,20,1,32.174020
2,65536,5,1,125.709321
2,65536,10,1,126.183109
2,65536,15,1,126.611656
2,65536,20,1,127.126855
4,1024,5,1,0.034520
4,1024,10,1,0.039374
4,1024,15,1,0.045679
4,1024,20,1,0.052203
4,2048,5,1,0.131170
4,2048,10,1,0.142184
4,2048,15,1,0.156114
4,2048,20,1,0.172916
4,4096,5,1,0.375546
4,4096,10,1,0.422091
4,4096,15,1,0.564449
4,4096,20,1,0.411525
4,8192,5,1,1.099299
4,8192,10,1,1.158600
4,8192,15,1,1.057541
4,8192,20,1,1.178803
4,16384,5,1,3.888928
4,16384,10,1,3.898028
4,16384,15,1,3.807713
4,16384,20,1,4.048668
4,32768,5,1,14.334970
4,32768,10,1,14.557536
4,32768,15,1,14.495163
4,32768,20,1,14.780099
4,65536,5,1,56.163472
4,65536,10,1,56.408732
4,65536,15,1,56.918145
4,65536,20,1,57.348360
8,1024,5,1,0.019963
8,1024,10,1,0.024041
8,1024,15,1,0.028936
8,1024,20,1,0.034718
8,2048,5,1,0.069350
8,2048,10,1,0.079551
8,2048,15,1,0.091614
8,2048,20,1,0.105247
8,4096,5,1,0.263732
8,4096,10,1,0.283788
8,4096,15,1,0.272454
8,4096,20,1,0.349290
8,8192,5,1,0.680354
8,8192,10,1,0.642556
8,8192,15,1,0.729061
8,8192,20,1,0.803378
8,16384,5,1,2.044775
8,16384,10,1,2.176011
8,16384,15,1,2.320931
8,16384,20,1,2.404853
8,32768,5,1,7.929714
8,32768,10,1,8.020098
8,32768,15,1,8.079998
8,32768,20,1,8.462446
8,65536,5,1,30.027640
8,65536,10,1,30.407325
8,65536,15,1,30.612580
8,65536,20,1,31.173225
16,1024,5,1,0.011658
16,1024,10,1,0.015451
16,1024,15,1,0.018200
16,1024,20,1,0.023215
16,2048,5,1,0.038639
16,2048,10,1,0.045686
16,2048,15,1,0.056718
16,2048,20,1,0.068761
16,4096,5,1,0.139806
16,4096,10,1,0.158564
16,4096,15,1,0.182839
16,4096,20,1,0.223986
16,8192,5,1,0.526249
16,8192,10,1,0.568642
16,8192,15,1,0.432198
16,8192,20,1,0.580594
16,16384,5,1,1.316195
16,16384,10,1,1.426203
16,16384,15,1,1.708770
16,16384,20,1,1.681014
16,32768,5,1,4.676762
16,32768,10,1,5.019832
16,32768,15,1,5.033626
16,32768,20,1,5.317507
16,65536,5,1,17.652383
16,65536,10,1,18.103574
16,65536,15,1,18.317098
16,65536,20,1,18.799869
32,1024,5,1,0.009249
32,1024,10,1,0.010600
32,1024,15,1,0.013155
32,1024,20,1,0.015639
32,2048,5,1,0.023622
32,2048,10,1,0.029982
32,2048,15,1,0.038160
32,2048,20,1,0.048750
32,4096,5,1,0.079568
32,4096,10,1,0.095016
32,4096,15,1,0.117318
32,4096,20,1,0.141816
32,8192,5,1,0.292561
32,8192,10,1,0.327010
32,8192,15,1,0.379028
32,8192,20,1,0.434230
32,16384,5,1,1.016021
32,16384,10,1,1.056126
32,16384,15,1,1.063973
32,16384,20,1,1.185818
32,32768,5,1,2.772517
32,32768,10,1,2.763747
32,32768,15,1,3.169850
32,32768,20,1,3.308365
32,65536,5,1,9.242587
32,65536,10,1,9.868590
32,65536,15,1,9.996295
32,65536,20,1,10.291122
64,1024,5,1,0.013770
64,1024,10,1,0.020039
64,1024,15,1,0.024074
64,1024,20,1,0.023366
64,2048,5,1,0.035090
64,2048,10,1,0.036873
64,2048,15,1,0.045981
64,2048,20,1,0.075399
64,4096,5,1,0.084942
64,4096,10,1,0.097344
64,4096,15,1,0.144246
64,4096,20,1,0.180625
64,8192,5,1,0.219281
64,8192,10,1,0.256986
64,8192,15,1,0.330911
64,8192,20,1,0.331974
64,16384,5,1,0.556483
64,16384,10,1,0.622152
64,16384,15,1,0.761417
64,16384,20,1,0.800253
64,32768,5,1,1.837362
64,32768,10,1,2.001859
64,32768,15,1,2.416685
64,32768,20,1,2.665826
64,65536,5,1,6.230034
64,65536,10,1,6.128993
64,65536,15,1,6.238365
64,65536,20,1,6.771303
