Numero di punti (N),Numero di vicini (K),Iterazioni,Tempo di esecuzione(s)
8,5,1,0.000000
16,5,1,0.000000
16,10,1,0.000000
16,15,1,0.000000
32,5,1,0.000000
32,10,1,0.000000
32,15,1,0.000000
32,20,1,0.000000
64,5,1,0.000000
64,10,1,0.000000
64,15,1,0.000000
64,20,1,0.000000
128,5,1,0.000000
128,10,1,0.000000
128,15,1,0.000000
128,20,1,0.000000
256,5,1,0.000000
256,10,1,0.010000
256,15,1,0.010000
256,20,1,0.010000
512,5,1,0.020000
512,10,1,0.020000
512,15,1,0.030000
512,20,1,0.030000
1024,5,1,0.090000
1024,10,1,0.080000
1024,15,1,0.050000
1024,20,1,0.050000
2048,5,1,0.160000
2048,10,1,0.170000
2048,15,1,0.180000
2048,20,1,0.190000
4096,5,1,0.660000
4096,10,1,0.670000
4096,15,1,0.690000
4096,20,1,0.720000
8192,5,1,2.670000
8192,10,1,2.740000
8192,15,1,2.780000
8192,20,1,2.820000
16384,5,1,10.680000
16384,10,1,10.740000
16384,15,1,10.760000
16384,20,1,10.920000
32768,5,1,42.140000
32768,10,1,42.230000
32768,15,1,42.400000
32768,20,1,42.810000
65536,5,1,167.010000
65536,10,1,167.150000
65536,15,1,167.430000
65536,20,1,167.920000
